Name,Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2020,Pop. 2023
United States,248790925,281424600,308758105,331464948,334914895
AL,4040389,4447207,4780118,5024294,5108468
AK,550043,626933,710246,733374,733406
AZ,3665339,5130247,6392292,7157902,7431344
AR,2350624,2673293,2916029,3011490,3067732
CA,29811427,33871653,37254522,39538212,38965193
CO,3294473,4302086,5029319,5773707,5877610
CT,3287116,3405650,3574151,3605912,3617176
DE,666168,783559,897947,989946,1031890
DC,606900,572086,601767,689548,678972
FL,12938071,15982571,18804589,21538216,22610726
GA,6478149,8186653,9688737,10713771,11029227
HI,1108229,1211497,1360304,1455274,1435138
ID,1006734,1293957,1567658,1839117,1964726
IL,11430602,12419927,12831572,12813469,12549689
IN,5544156,6080827,6484050,6785442,6862199
IA,2776831,2926538,3046877,3190427,3207004
KS,2477588,2688925,2853120,2937835,2940546
KY,3686892,4042193,4339330,4506297,4526154
LA,4221826,4469035,4533500,4657785,4573749
ME,1227928,1274779,1328354,1363177,1395722
MD,4780753,5296647,5773787,6177253,6180253
MA,6016425,6349364,6547788,7032933,7001399
MI,9295287,9938823,9884112,10077674,10037261
MN,4375665,4919631,5303933,5706804,5737915
MS,2575475,2844754,2968129,2961306,2939690
MO,5116901,5596564,5988941,6154889,6196156
MT,799065,902200,989400,1084244,1132812
NE,1578417,1711230,1826311,1961965,1978379
NV,1201675,1998250,2700683,3104617,3194176
NH,1109252,1235807,1316457,1377524,1402054
NJ,7747750,8414764,8791959,9289039,9290841
NM,1515069,1819017,2059199,2117525,2114371
NY,17990778,18977026,19378117,20202320,19571216
NC,6632448,8046346,9535762,10439459,10835491
ND,638800,642237,672575,779079,783926
OH,10847115,11353336,11536763,11799331,11785935
OK,3145576,3450451,3751582,3959411,4053824
OR,2842337,3421524,3831083,4237279,4233358
PA,11882842,12280548,12702891,13002788,12961683
RI,1003464,1048259,1052970,1097371,1095962
SC,3486310,4012023,4625358,5118422,5373555
SD,696004,754858,814198,886668,919318
TN,4877203,5689427,6346281,6910786,7126489
TX,16986335,20851028,25146072,29145459,30503301
UT,1722850,2233183,2763891,3271614,3417734
VT,562758,608613,625727,643077,647464
VA,6189197,7079057,8001046,8631373,8715698
WA,4866669,5894281,6724540,7705267,7812880
WV,1793477,1808193,1853008,1793713,1770071
WI,4891954,5363757,5687285,5893713,5910955
WY,453589,493786,563775,576850,584057
PR,3522037,3808605,3726157,3285874,3205691
,,,,,
"Source: U.S. Census Bureau, Population Estimates Program â€“ 1990-2000 Intercensal Datasets, 2000-2010 Intercensal Datasets, Vintage 2020 Population Estimates, and Vintage 2023 Population Estimates.


",,,,,
